Date,Forecast,Lower,Upper,Dia_horizonte,Ancho_IC,Ancho_IC_%
2023-09-23,457.0098201678272,398.74945650088165,515.2701838347728,23,116.5207273338911,25.49632900472496
2023-09-24,457.0098201678272,397.6226577683327,516.3969825673216,24,118.77432479898891,25.989446956604027
2023-09-25,457.0098201678272,396.5168442026533,517.5027961330011,25,120.98595193034777,26.47338122535709
2023-09-26,457.0098201678272,395.4308852600011,518.5887550756532,26,123.15786981565213,26.948626567898483
2023-09-27,457.0098201678272,394.3637484023808,519.6558919332736,27,125.29214353089276,27.415634851102734
2023-09-28,457.0098201678272,393.3144876002,520.7051527354544,28,127.39066513525438,27.874820083400586
2023-09-29,457.0098201678272,392.28223351298726,521.737406822667,29,129.45517330967976,28.32656271196538
2023-09-30,457.0098201678272,391.26618505826707,522.7534552773873,30,131.4872702191202,28.77121331240416
2023-10-01,457.0098201678272,390.2656021360144,523.7540381996399,31,133.4884360636255,29.20909577273519
2023-10-02,457.0098201678272,389.2797993208103,524.739841014844,32,135.46004169403375,29.64051005387344
2023-10-03,457.0098201678272,388.308140368884,525.7114999667704,33,137.40335959788638,30.065734593499087
2023-10-04,457.0098201678272,387.3500334149545,526.6696069206998,34,139.31957350574532,30.48502840805109
2023-10-05,457.0098201678272,386.4049267558627,527.6147135797917,35,141.209786823929,30.898632937925207
2023-10-06,457.0098201678272,385.47230513568445,528.5473351999699,36,143.07503006428544,31.306773673209946
2023-10-07,457.0098201678272,384.55168646129823,529.4679538743561,37,144.91626741305788,31.709661591044245
2023-10-08,457.0098201678272,383.6426188889696,530.3770214466848,38,146.7344025577152,32.107494430607666
2023-10-09,457.0098201678272,382.7446782319796,531.2749621036747,39,148.53028387169513,32.5004578276131
2023-10-10,457.0098201678272,381.8574656470887,532.1621746885656,40,150.30470904147694,32.888726326773615
2023-10-11,457.0098201678272,380.98060556403203,533.0390347716223,41,152.05842920759022,33.272464287911795
2023-10-12,457.0098201678272,380.11374382755406,533.9058965081003,42,153.79215268054628,33.65182669905635
2023-10-13,457.0098201678272,379.25654602590896,534.7630943097454,43,155.50654828383642,34.02695990793588
2023-10-14,457.0098201678272,378.4086959834526,535.6109443522017,44,157.2022483687491,34.398002281662116
2023-10-15,457.0098201678272,377.5698943980567,536.4497459375976,45,158.87985153954094,34.76508480303458
2023-10-16,457.0098201678272,376.73985760669336,537.279782728961,46,160.53992512226762,35.12833161075461
2023-10-17,457.0098201678272,375.91831646475725,538.1013238708971,47,162.18300740613984,35.48786048986465
2023-10-18,457.0098201678272,375.1050153265715,538.9146250090828,48,163.80960968251128,35.843783317906755
2023-10-19,457.0098201678272,374.29971111613173,539.7199292195227,49,165.42021810339094,36.19620647159045
2023-10-20,457.0098201678272,373.50217247851356,540.5174678571408,50,167.01529537862723,36.5452311981599
2023-10-21,457.0098201678272,372.7121790035472,541.3074613321071,51,168.5952823285599,36.89095395513533
2023-10-22,457.0098201678272,371.9295205143769,542.0901198212774,52,170.1605993069005,37.23346672165877
2023-10-23,457.0098201678272,371.153996414397,542.8656439212573,53,171.7116475068603,37.572857284292674
2023-10-24,457.0098201678272,370.38541508681527,543.6342252488391,54,173.24881016202386,37.909209499787536
2023-10-25,457.0098201678272,369.6235933417511,544.3960469939033,55,174.7724536521522,38.24260353704669
2023-10-26,457.0098201678272,368.8683559063481,545.1512844293062,56,176.28292852295812,38.57311610026716
